event_id,issuer,ticker,event_category,sector,event_timestamp_et,release_session,entry_timestamp_et,timestamp_verification_status,qc_mechanical_status,qc_reason,entry_observation_price,prior20_median_daily_dollar_volume,actual_first_tradable_minute_et,accepted_primary_sample,exclusion_reason,outcome_fields_present,qc_project_id,qc_backtest_id
E1-ALNY-20240624,Alnylam Pharmaceuticals,ALNY,E1_Clinical_Regulatory,Health Care,2024-06-24 07:00:00 EDT,PREMARKET,2024-06-24 10:00:00 EDT,VERIFIED,MECHANICAL_PASS,PASS,212.54,98990319.11,2024-06-24 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E1-CYTK-20231227,Cytokinetics,CYTK,E1_Clinical_Regulatory,Health Care,2023-12-27 07:30:00 EST,PREMARKET,2023-12-27 10:00:00 EST,VERIFIED,MECHANICAL_PASS,PASS,74.42,60986578.49,2023-12-27 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E1-MDGL-20221219,Madrigal Pharmaceuticals,MDGL,E1_Clinical_Regulatory,Health Care,2022-12-19 07:00:00 EST,PREMARKET,2022-12-19 10:00:00 EST,VERIFIED,MECHANICAL_PASS,PASS,212.43,27492139.95,2022-12-19 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E2-NVDA-20230524,NVIDIA,NVDA,E2_Earnings_Guidance_Reset,Information Technology,2023-05-24 16:20:00 EDT,AFTER_HOURS,2023-05-25 10:00:00 EDT,VERIFIED,MECHANICAL_PASS,PASS,383.41,10205512622.56,2023-05-25 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E2-META-20230426,Meta Platforms,META,E2_Earnings_Guidance_Reset,Communication Services,2023-04-26 16:09:00 EDT,AFTER_HOURS,2023-04-27 10:00:00 EDT,VERIFIED_BEST_AVAILABLE,MECHANICAL_PASS,PASS,238.64,3645099083.06,2023-04-27 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E2-FDX-20220915,FedEx,FDX,E2_Earnings_Guidance_Reset,Industrials,2022-09-15 16:30:00 EDT,AFTER_HOURS,2022-09-16 10:00:00 EDT,VERIFIED,MECHANICAL_PASS,PASS,159.68,309655691.06,2022-09-16 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E2-WMT-20220725,Walmart,WMT,E2_Earnings_Guidance_Reset,Consumer Staples,2022-07-25 16:18:00 EDT,AFTER_HOURS,2022-07-26 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_WIRE_TIME,MECHANICAL_PASS,PASS,120.38,699903123.95,2022-07-26 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E3-PLTR-20211005,Palantir Technologies,PLTR,E3_Major_Contract_Order_Capacity,Information Technology,2021-10-05 16:13:00 EDT,AFTER_HOURS,2021-10-06 10:00:00 EDT,VERIFIED_BEST_AVAILABLE,MECHANICAL_PASS,PASS,24.12,1187333802.11,2021-10-06 10:01:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E3-RKLB-20231221,Rocket Lab USA,RKLB,E3_Major_Contract_Order_Capacity,Industrials,2023-12-21 16:15:08 EST,AFTER_HOURS,2023-12-22 10:00:00 EST,VERIFIED_SEC_ACCEPTED_TIME,MECHANICAL_FAIL,MEDIAN_DOLLAR_VOLUME_LT_20M,5.46,16890341.70,2023-12-22 10:01:00,false,FROZEN_LIQUIDITY_RULE_FAIL,false,35534281,0b227c59e639ab6db3e13734aaf1c383
E3-AVAV-20240828,AeroVironment,AVAV,E3_Major_Contract_Order_Capacity,Industrials,2024-08-28 11:00:00 EDT,REGULAR_SESSION,2024-08-28 11:30:00 EDT,VERIFIED_PRIMARY_WITH_TIME,MECHANICAL_PASS,PASS,200.96,37179021.06,2024-08-28 11:31:00,true,,false,35534281,0b227c59e639ab6db3e13734aaf1c383
